session_id,arrival_time,departure_time,battery_capacity_kwh,soc_start,soc_target,energy_needed_kwh,charger_power_kw
S0001,2023-01-01 12:00:00,2023-01-02 08:00:00,60,0.583,0.829,14.78,11.0
S0002,2023-01-01 15:00:00,2023-01-02 10:00:00,50,0.642,0.936,14.689,11.0
S0003,2023-01-01 19:00:00,2023-01-02 11:00:00,50,0.228,0.851,31.127,3.7
S0004,2023-01-01 20:00:00,2023-01-02 09:00:00,82,0.435,0.815,31.225,7.4
S0005,2023-01-01 15:00:00,2023-01-02 09:00:00,82,0.396,0.674,22.804,3.7
S0006,2023-01-01 17:00:00,2023-01-02 08:00:00,50,0.279,0.736,22.827,11.0
S0007,2023-01-01 15:00:00,2023-01-02 06:00:00,82,0.302,0.798,40.703,7.4
S0008,2023-01-01 17:00:00,2023-01-02 10:00:00,40,0.369,0.566,7.847,3.7
S0009,2023-01-01 14:00:00,2023-01-02 10:00:00,50,0.414,0.578,8.163,7.4
S0010,2023-01-01 11:00:00,2023-01-02 09:00:00,50,0.366,0.95,29.181,11.0
S0011,2023-01-01 10:00:00,2023-01-01 12:00:00,60,0.605,0.84,14.089,11.0
S0012,2023-01-01 17:00:00,2023-01-02 11:00:00,60,0.308,0.799,29.444,7.4
S0013,2023-01-01 14:00:00,2023-01-02 08:00:00,82,0.217,0.705,40.009,7.4
S0014,2023-01-01 16:00:00,2023-01-02 10:00:00,60,0.518,0.746,13.655,3.7
S0015,2023-01-01 15:00:00,2023-01-02 07:00:00,60,0.545,0.849,18.241,11.0
S0016,2023-01-01 18:00:00,2023-01-02 10:00:00,50,0.183,0.879,34.805,7.4
S0017,2023-01-01 16:00:00,2023-01-02 11:00:00,60,0.475,0.944,28.153,3.7
S0018,2023-01-01 17:00:00,2023-01-02 11:00:00,60,0.199,0.576,22.631,3.7
S0019,2023-01-01 14:00:00,2023-01-02 09:00:00,50,0.382,0.864,24.095,11.0
S0020,2023-01-01 13:00:00,2023-01-02 11:00:00,82,0.183,0.939,61.992,3.7
S0021,2023-01-01 17:00:00,2023-01-02 10:00:00,50,0.508,0.736,11.419,3.7
S0022,2023-01-01 17:00:00,2023-01-02 08:00:00,40,0.156,0.606,17.997,11.0
S0023,2023-01-01 16:00:00,2023-01-02 10:00:00,60,0.188,0.818,37.789,7.4
S0024,2023-01-01 23:00:00,2023-01-02 09:00:00,40,0.589,0.79,8.057,3.7
S0025,2023-01-01 13:00:00,2023-01-02 11:00:00,60,0.466,0.624,9.501,7.4
S0026,2023-01-01 20:00:00,2023-01-02 11:00:00,82,0.423,0.608,15.122,7.4
S0027,2023-01-01 18:00:00,2023-01-02 10:00:00,75,0.244,0.624,28.469,7.4
S0028,2023-01-01 16:00:00,2023-01-02 10:00:00,82,0.159,0.57,33.69,7.4
S0029,2023-01-01 12:00:00,2023-01-02 10:00:00,60,0.287,0.561,16.412,11.0
S0030,2023-01-01 18:00:00,2023-01-02 08:00:00,82,0.488,0.702,17.574,3.7
S0031,2023-01-02 21:00:00,2023-01-03 06:00:00,60,0.631,0.887,15.358,3.7
S0032,2023-01-02 23:00:00,2023-01-03 09:00:00,50,0.185,0.814,31.438,7.4
S0033,2023-01-02 17:00:00,2023-01-03 08:00:00,40,0.16,0.723,22.528,3.7
S0034,2023-01-02 18:00:00,2023-01-03 06:00:00,60,0.506,0.708,12.102,7.4
S0035,2023-01-02 17:00:00,2023-01-03 07:00:00,82,0.256,0.608,28.851,11.0
S0036,2023-01-02 20:00:00,2023-01-03 06:00:00,60,0.266,0.613,20.776,3.7
S0037,2023-01-02 21:00:00,2023-01-03 06:00:00,50,0.305,0.729,21.223,11.0
S0038,2023-01-02 14:00:00,2023-01-03 07:00:00,40,0.598,0.769,6.836,11.0
S0039,2023-01-02 19:00:00,2023-01-03 05:00:00,75,0.423,0.831,30.598,3.7
S0040,2023-01-02 16:00:00,2023-01-03 06:00:00,75,0.222,0.592,27.745,7.4
S0041,2023-01-02 16:00:00,2023-01-03 07:00:00,60,0.215,0.807,35.533,3.7
S0042,2023-01-02 21:00:00,2023-01-03 05:00:00,50,0.489,0.851,18.13,11.0
S0043,2023-01-02 17:00:00,2023-01-03 05:00:00,75,0.435,0.889,34.052,7.4
S0044,2023-01-02 15:00:00,2023-01-03 06:00:00,60,0.493,0.712,13.17,7.4
S0045,2023-01-02 20:00:00,2023-01-03 06:00:00,60,0.262,0.893,37.862,7.4
S0046,2023-01-02 22:00:00,2023-01-03 05:00:00,75,0.305,0.855,41.225,7.4
S0047,2023-01-02 20:00:00,2023-01-03 07:00:00,82,0.587,0.894,25.157,3.7
S0048,2023-01-02 21:00:00,2023-01-03 07:00:00,40,0.152,0.615,18.527,3.7
S0049,2023-01-02 20:00:00,2023-01-03 06:00:00,82,0.49,0.733,19.908,7.4
S0050,2023-01-02 19:00:00,2023-01-03 07:00:00,60,0.476,0.757,16.874,7.4
S0051,2023-01-02 20:00:00,2023-01-03 07:00:00,75,0.56,0.95,29.25,7.4
S0052,2023-01-02 18:00:00,2023-01-03 06:00:00,40,0.633,0.936,12.128,7.4
S0053,2023-01-02 17:00:00,2023-01-03 07:00:00,82,0.632,0.81,14.553,7.4
S0054,2023-01-02 14:00:00,2023-01-03 07:00:00,82,0.558,0.8,19.808,7.4
S0055,2023-01-02 17:00:00,2023-01-03 06:00:00,60,0.465,0.754,17.369,3.7
S0056,2023-01-02 19:00:00,2023-01-03 06:00:00,75,0.543,0.756,15.943,3.7
S0057,2023-01-02 18:00:00,2023-01-03 09:00:00,75,0.456,0.944,36.662,11.0
S0058,2023-01-02 21:00:00,2023-01-03 05:00:00,60,0.648,0.87,13.325,7.4
S0059,2023-01-02 17:00:00,2023-01-03 08:00:00,75,0.448,0.91,34.676,3.7
S0060,2023-01-02 16:00:00,2023-01-03 08:00:00,50,0.359,0.608,12.452,7.4
S0061,2023-01-02 15:00:00,2023-01-03 08:00:00,50,0.323,0.619,14.824,7.4
S0062,2023-01-03 20:00:00,2023-01-04 06:00:00,60,0.353,0.855,30.093,11.0
S0063,2023-01-03 15:00:00,2023-01-04 10:00:00,50,0.154,0.719,28.267,3.7
S0064,2023-01-03 15:00:00,2023-01-04 06:00:00,82,0.37,0.578,17.026,3.7
S0065,2023-01-03 14:00:00,2023-01-04 06:00:00,82,0.165,0.766,49.357,3.7
S0066,2023-01-03 14:00:00,2023-01-04 07:00:00,50,0.329,0.948,30.944,7.4
S0067,2023-01-03 15:00:00,2023-01-04 07:00:00,50,0.608,0.912,15.173,7.4
S0068,2023-01-03 20:00:00,2023-01-04 09:00:00,40,0.382,0.648,10.654,7.4
S0069,2023-01-03 18:00:00,2023-01-04 09:00:00,50,0.417,0.809,19.609,7.4
S0070,2023-01-03 18:00:00,2023-01-04 08:00:00,50,0.615,0.85,11.744,7.4
S0071,2023-01-03 16:00:00,2023-01-04 08:00:00,75,0.353,0.921,42.56,11.0
S0072,2023-01-03 17:00:00,2023-01-04 07:00:00,60,0.483,0.724,14.425,3.7
S0073,2023-01-03 17:00:00,2023-01-04 10:00:00,40,0.237,0.809,22.873,11.0
S0074,2023-01-03 18:00:00,2023-01-04 04:00:00,40,0.487,0.829,13.701,7.4
S0075,2023-01-03 18:00:00,2023-01-04 06:00:00,82,0.274,0.945,55.027,11.0
S0076,2023-01-03 18:00:00,2023-01-04 07:00:00,50,0.256,0.646,19.478,7.4
S0077,2023-01-03 17:00:00,2023-01-04 08:00:00,40,0.633,0.84,8.284,7.4
S0078,2023-01-03 17:00:00,2023-01-04 09:00:00,82,0.23,0.866,52.168,3.7
S0079,2023-01-03 20:00:00,2023-01-04 07:00:00,82,0.555,0.803,20.328,7.4
S0080,2023-01-03 18:00:00,2023-01-04 05:00:00,75,0.392,0.909,38.781,11.0
S0081,2023-01-03 15:00:00,2023-01-04 09:00:00,60,0.563,0.9,20.263,7.4
S0082,2023-01-03 19:00:00,2023-01-04 08:00:00,40,0.62,0.803,7.314,11.0
S0083,2023-01-03 18:00:00,2023-01-04 05:00:00,40,0.287,0.71,16.924,11.0
S0084,2023-01-03 20:00:00,2023-01-04 07:00:00,82,0.561,0.714,12.56,3.7
S0085,2023-01-03 19:00:00,2023-01-04 08:00:00,82,0.186,0.824,52.289,7.4
S0086,2023-01-03 16:00:00,2023-01-04 08:00:00,40,0.225,0.809,23.384,11.0
S0087,2023-01-04 19:00:00,2023-01-05 08:00:00,40,0.192,0.807,24.613,7.4
S0088,2023-01-04 18:00:00,2023-01-05 06:00:00,82,0.166,0.598,35.433,3.7
S0089,2023-01-04 20:00:00,2023-01-05 08:00:00,50,0.485,0.892,20.351,3.7
S0090,2023-01-04 19:00:00,2023-01-05 06:00:00,40,0.201,0.556,14.217,7.4
S0091,2023-01-04 14:00:00,2023-01-05 09:00:00,50,0.498,0.678,8.957,3.7
S0092,2023-01-04 20:00:00,2023-01-05 06:00:00,50,0.213,0.897,34.162,7.4
S0093,2023-01-04 15:00:00,2023-01-05 07:00:00,82,0.529,0.708,14.647,3.7
S0094,2023-01-04 12:00:00,2023-01-05 06:00:00,50,0.418,0.718,15.032,11.0
S0095,2023-01-04 17:00:00,2023-01-05 09:00:00,50,0.395,0.889,24.678,11.0
S0096,2023-01-04 23:00:00,2023-01-05 09:00:00,82,0.513,0.926,33.897,7.4
S0097,2023-01-04 18:00:00,2023-01-05 09:00:00,75,0.429,0.942,38.493,3.7
S0098,2023-01-04 19:00:00,2023-01-05 07:00:00,82,0.38,0.673,23.985,11.0
S0099,2023-01-04 19:00:00,2023-01-05 04:00:00,75,0.299,0.819,38.977,11.0
S0100,2023-01-04 15:00:00,2023-01-05 06:00:00,40,0.399,0.66,10.465,3.7
S0101,2023-01-04 20:00:00,2023-01-05 06:00:00,82,0.269,0.746,39.108,11.0
S0102,2023-01-04 20:00:00,2023-01-05 04:00:00,82,0.521,0.686,13.496,7.4
S0103,2023-01-04 19:00:00,2023-01-05 08:00:00,50,0.364,0.626,13.058,3.7
S0104,2023-01-04 18:00:00,2023-01-05 07:00:00,75,0.191,0.628,32.807,3.7
S0105,2023-01-04 22:00:00,2023-01-05 08:00:00,60,0.612,0.864,15.157,7.4
S0106,2023-01-04 18:00:00,2023-01-05 08:00:00,60,0.645,0.836,11.472,7.4
S0107,2023-01-04 14:00:00,2023-01-05 07:00:00,75,0.152,0.95,59.837,11.0
S0108,2023-01-04 19:00:00,2023-01-05 09:00:00,60,0.226,0.664,26.294,3.7
S0109,2023-01-05 19:00:00,2023-01-06 09:00:00,50,0.307,0.798,24.574,7.4
