timestamp,load,generated_power
2024-01-01 00:00:00,2.421,0.098
2024-01-01 01:00:00,2.49,0.0
2024-01-01 02:00:00,2.299,0.007
2024-01-01 03:00:00,2.128,0.0
2024-01-01 04:00:00,2.1,0.081
2024-01-01 05:00:00,2.103,0.0
2024-01-01 06:00:00,2.059,0.007
2024-01-01 07:00:00,2.141,0.868
2024-01-01 08:00:00,2.092,1.168
2024-01-01 09:00:00,2.175,1.54
2024-01-01 10:00:00,2.254,1.822
2024-01-01 11:00:00,2.308,2.198
2024-01-01 12:00:00,2.181,2.409
2024-01-01 13:00:00,2.156,2.392
2024-01-01 14:00:00,2.0,1.731
2024-01-01 15:00:00,2.036,1.607
2024-01-01 16:00:00,1.9,0.98
2024-01-01 17:00:00,1.806,0.711
2024-01-01 18:00:00,1.628,0.0
2024-01-01 19:00:00,2.13,0.0
2024-01-01 20:00:00,2.259,0.0
2024-01-01 21:00:00,2.357,0.086
2024-01-01 22:00:00,2.268,0.127
2024-01-01 23:00:00,2.46,0.047
2024-01-02 00:00:00,2.272,0.053
2024-01-02 01:00:00,2.325,0.0
2024-01-02 02:00:00,2.288,0.09
2024-01-02 03:00:00,2.284,0.104
2024-01-02 04:00:00,2.177,0.028
2024-01-02 05:00:00,2.064,0.0
2024-01-02 06:00:00,1.982,0.0
2024-01-02 07:00:00,2.164,0.462
2024-01-02 08:00:00,2.158,1.393
2024-01-02 09:00:00,2.143,1.621
2024-01-02 10:00:00,2.266,2.063
2024-01-02 11:00:00,2.179,2.426
2024-01-02 12:00:00,2.234,2.357
2024-01-02 13:00:00,2.037,2.445
2024-01-02 14:00:00,2.167,1.667
2024-01-02 15:00:00,2.125,1.22
2024-01-02 16:00:00,1.886,0.831
2024-01-02 17:00:00,1.781,0.548
2024-01-02 18:00:00,1.888,0.288
2024-01-02 19:00:00,1.929,0.023
2024-01-02 20:00:00,2.113,0.0
2024-01-02 21:00:00,2.255,0.005
2024-01-02 22:00:00,2.38,0.088
2024-01-02 23:00:00,2.471,0.101
2024-01-03 00:00:00,2.342,0.173
2024-01-03 01:00:00,2.424,0.0
2024-01-03 02:00:00,2.34,0.0
2024-01-03 03:00:00,2.15,0.004
2024-01-03 04:00:00,2.129,0.0
2024-01-03 05:00:00,2.013,0.233
2024-01-03 06:00:00,1.835,0.006
2024-01-03 07:00:00,2.112,0.712
2024-01-03 08:00:00,2.127,1.246
2024-01-03 09:00:00,2.254,1.5
2024-01-03 10:00:00,2.219,2.051
2024-01-03 11:00:00,2.112,2.197
2024-01-03 12:00:00,2.096,2.157
2024-01-03 13:00:00,2.195,2.38
2024-01-03 14:00:00,1.995,2.479
2024-01-03 15:00:00,2.026,1.697
2024-01-03 16:00:00,2.101,1.145
2024-01-03 17:00:00,1.844,0.49
2024-01-03 18:00:00,1.756,0.0
2024-01-03 19:00:00,2.052,0.288
2024-01-03 20:00:00,2.064,0.001
2024-01-03 21:00:00,2.275,0.0
2024-01-03 22:00:00,2.234,0.0
2024-01-03 23:00:00,2.275,0.0
2024-01-04 00:00:00,2.421,0.057
2024-01-04 01:00:00,2.522,0.0
2024-01-04 02:00:00,2.304,0.0
2024-01-04 03:00:00,2.183,0.0
2024-01-04 04:00:00,2.231,0.0
2024-01-04 05:00:00,2.012,0.131
2024-01-04 06:00:00,2.059,0.0
2024-01-04 07:00:00,2.003,0.723
2024-01-04 08:00:00,2.235,1.367
2024-01-04 09:00:00,2.263,1.429
2024-01-04 10:00:00,2.269,1.877
2024-01-04 11:00:00,2.352,2.441
2024-01-04 12:00:00,2.13,2.45
2024-01-04 13:00:00,2.218,2.429
2024-01-04 14:00:00,2.108,2.275
2024-01-04 15:00:00,2.091,1.73
2024-01-04 16:00:00,2.035,1.296
2024-01-04 17:00:00,1.95,0.623
2024-01-04 18:00:00,1.738,0.0
2024-01-04 19:00:00,1.994,0.132
2024-01-04 20:00:00,2.119,0.179
2024-01-04 21:00:00,2.209,0.028
