"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|BG","Without Sequence","18.35","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|BG","Without Sequence","18.25","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|BG","Without Sequence","18.27","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|BG","Without Sequence","18.29","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|BG","Without Sequence","18.52","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|BG","Without Sequence","18.70","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|BG","Without Sequence","18.89","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|BG","Without Sequence","19.09","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|BG","Without Sequence","44.05","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|BG","Without Sequence","44.03","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|BG","Without Sequence","44.03","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|BG","Without Sequence","44.01","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|BG","Without Sequence","44.01","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|BG","Without Sequence","44.03","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|BG","Without Sequence","44.06","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|BG","Without Sequence","48.80","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|BG","Without Sequence","85.04","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|BG","Without Sequence","85.06","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|BG","Without Sequence","85.06","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|BG","Without Sequence","85.06","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|BG","Without Sequence","85.04","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|BG","Without Sequence","85.06","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|BG","Without Sequence","85.04","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|BG","Without Sequence","85.08","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|BG","Without Sequence","85.04","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|BG","Without Sequence","85.02","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|BG","Without Sequence","85.02","",""
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|BG","Without Sequence","78.55","",""
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|BG","Without Sequence","83.92","",""
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|BG","Without Sequence","56.56","",""
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|BG","Without Sequence","58.64","",""
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|BG","Without Sequence","52.63","",""
"02/01/2018 23:00:00 - 03/01/2018 00:00:00","BZN|BG","Without Sequence","44.06","",""
"03/01/2018 00:00:00 - 03/01/2018 01:00:00","BZN|BG","Without Sequence","44.01","",""
"03/01/2018 01:00:00 - 03/01/2018 02:00:00","BZN|BG","Without Sequence","44.01","",""
"03/01/2018 02:00:00 - 03/01/2018 03:00:00","BZN|BG","Without Sequence","44.01","",""
"03/01/2018 03:00:00 - 03/01/2018 04:00:00","BZN|BG","Without Sequence","44.01","",""
"03/01/2018 04:00:00 - 03/01/2018 05:00:00","BZN|BG","Without Sequence","44.03","",""
"03/01/2018 05:00:00 - 03/01/2018 06:00:00","BZN|BG","Without Sequence","44.06","",""
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|BG","Without Sequence","85.06","",""
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|BG","Without Sequence","85.06","",""
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|BG","Without Sequence","85.08","",""
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|BG","Without Sequence","85.04","",""
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|BG","Without Sequence","85.04","",""
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|BG","Without Sequence","85.04","",""
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|BG","Without Sequence","85.04","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|BG","Without Sequence","85.06","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|BG","Without Sequence","64.41","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|BG","Without Sequence","44.10","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|BG","Without Sequence","44.10","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|BG","Without Sequence","83.55","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|BG","Without Sequence","44.06","",""
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|BG","Without Sequence","44.06","",""
"04/01/2018 01:00:00 - 04/01/2018 02:00:00","BZN|BG","Without Sequence","44.03","",""
"04/01/2018 02:00:00 - 04/01/2018 03:00:00","BZN|BG","Without Sequence","44.03","",""
"04/01/2018 03:00:00 - 04/01/2018 04:00:00","BZN|BG","Without Sequence","44.03","",""
"04/01/2018 04:00:00 - 04/01/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"04/01/2018 05:00:00 - 04/01/2018 06:00:00","BZN|BG","Without Sequence","85.04","",""
"04/01/2018 06:00:00 - 04/01/2018 07:00:00","BZN|BG","Without Sequence","85.04","",""
"04/01/2018 07:00:00 - 04/01/2018 08:00:00","BZN|BG","Without Sequence","97.91","",""
"04/01/2018 08:00:00 - 04/01/2018 09:00:00","BZN|BG","Without Sequence","184.65","",""
"04/01/2018 09:00:00 - 04/01/2018 10:00:00","BZN|BG","Without Sequence","189.48","",""
"04/01/2018 10:00:00 - 04/01/2018 11:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 11:00:00 - 04/01/2018 12:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 12:00:00 - 04/01/2018 13:00:00","BZN|BG","Without Sequence","86.17","",""
"04/01/2018 13:00:00 - 04/01/2018 14:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 14:00:00 - 04/01/2018 15:00:00","BZN|BG","Without Sequence","94.04","",""
"04/01/2018 15:00:00 - 04/01/2018 16:00:00","BZN|BG","Without Sequence","93.82","",""
"04/01/2018 16:00:00 - 04/01/2018 17:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 17:00:00 - 04/01/2018 18:00:00","BZN|BG","Without Sequence","89.40","",""
"04/01/2018 18:00:00 - 04/01/2018 19:00:00","BZN|BG","Without Sequence","86.86","",""
"04/01/2018 19:00:00 - 04/01/2018 20:00:00","BZN|BG","Without Sequence","85.02","",""
"04/01/2018 20:00:00 - 04/01/2018 21:00:00","BZN|BG","Without Sequence","85.04","",""
"04/01/2018 21:00:00 - 04/01/2018 22:00:00","BZN|BG","Without Sequence","44.50","",""
"04/01/2018 22:00:00 - 04/01/2018 23:00:00","BZN|BG","Without Sequence","59.05","",""
"04/01/2018 23:00:00 - 05/01/2018 00:00:00","BZN|BG","Without Sequence","85.00","",""
"05/01/2018 00:00:00 - 05/01/2018 01:00:00","BZN|BG","Without Sequence","44.06","",""
"05/01/2018 01:00:00 - 05/01/2018 02:00:00","BZN|BG","Without Sequence","44.05","",""
"05/01/2018 02:00:00 - 05/01/2018 03:00:00","BZN|BG","Without Sequence","44.03","",""
"05/01/2018 03:00:00 - 05/01/2018 04:00:00","BZN|BG","Without Sequence","44.05","",""
"05/01/2018 04:00:00 - 05/01/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"05/01/2018 05:00:00 - 05/01/2018 06:00:00","BZN|BG","Without Sequence","78.23","",""
"05/01/2018 06:00:00 - 05/01/2018 07:00:00","BZN|BG","Without Sequence","85.02","",""
"05/01/2018 07:00:00 - 05/01/2018 08:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 08:00:00 - 05/01/2018 09:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 09:00:00 - 05/01/2018 10:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 10:00:00 - 05/01/2018 11:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 11:00:00 - 05/01/2018 12:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 12:00:00 - 05/01/2018 13:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 13:00:00 - 05/01/2018 14:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 14:00:00 - 05/01/2018 15:00:00","BZN|BG","Without Sequence","85.04","",""
"05/01/2018 15:00:00 - 05/01/2018 16:00:00","BZN|BG","Without Sequence","75.10","",""
"05/01/2018 16:00:00 - 05/01/2018 17:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 17:00:00 - 05/01/2018 18:00:00","BZN|BG","Without Sequence","117.35","",""
"05/01/2018 18:00:00 - 05/01/2018 19:00:00","BZN|BG","Without Sequence","85.24","",""
"05/01/2018 19:00:00 - 05/01/2018 20:00:00","BZN|BG","Without Sequence","85.00","",""
"05/01/2018 20:00:00 - 05/01/2018 21:00:00","BZN|BG","Without Sequence","70.18","",""
"05/01/2018 21:00:00 - 05/01/2018 22:00:00","BZN|BG","Without Sequence","58.60","",""
"05/01/2018 22:00:00 - 05/01/2018 23:00:00","BZN|BG","Without Sequence","70.37","",""
"05/01/2018 23:00:00 - 06/01/2018 00:00:00","BZN|BG","Without Sequence","63.10","",""
"06/01/2018 00:00:00 - 06/01/2018 01:00:00","BZN|BG","Without Sequence","55.78","",""
"06/01/2018 01:00:00 - 06/01/2018 02:00:00","BZN|BG","Without Sequence","70.88","",""
"06/01/2018 02:00:00 - 06/01/2018 03:00:00","BZN|BG","Without Sequence","44.94","",""
"06/01/2018 03:00:00 - 06/01/2018 04:00:00","BZN|BG","Without Sequence","58.93","",""
"06/01/2018 04:00:00 - 06/01/2018 05:00:00","BZN|BG","Without Sequence","63.04","",""
"06/01/2018 05:00:00 - 06/01/2018 06:00:00","BZN|BG","Without Sequence","55.74","",""
"06/01/2018 06:00:00 - 06/01/2018 07:00:00","BZN|BG","Without Sequence","73.46","",""
"06/01/2018 07:00:00 - 06/01/2018 08:00:00","BZN|BG","Without Sequence","80.01","",""
