"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|BG","Without Sequence","47.94","",""
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|BG","Without Sequence","47.92","",""
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|BG","Without Sequence","47.10","",""
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|BG","Without Sequence","47.06","",""
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|BG","Without Sequence","44.08","",""
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|BG","Without Sequence","47.02","",""
"01/01/2019 06:00:00 - 01/01/2019 07:00:00","BZN|BG","Without Sequence","44.08","",""
"01/01/2019 07:00:00 - 01/01/2019 08:00:00","BZN|BG","Without Sequence","44.10","",""
"01/01/2019 08:00:00 - 01/01/2019 09:00:00","BZN|BG","Without Sequence","47.92","",""
"01/01/2019 09:00:00 - 01/01/2019 10:00:00","BZN|BG","Without Sequence","47.98","",""
"01/01/2019 10:00:00 - 01/01/2019 11:00:00","BZN|BG","Without Sequence","47.96","",""
"01/01/2019 11:00:00 - 01/01/2019 12:00:00","BZN|BG","Without Sequence","47.92","",""
"01/01/2019 12:00:00 - 01/01/2019 13:00:00","BZN|BG","Without Sequence","47.92","",""
"01/01/2019 13:00:00 - 01/01/2019 14:00:00","BZN|BG","Without Sequence","47.92","",""
"01/01/2019 14:00:00 - 01/01/2019 15:00:00","BZN|BG","Without Sequence","48.00","",""
"01/01/2019 15:00:00 - 01/01/2019 16:00:00","BZN|BG","Without Sequence","90.07","",""
"01/01/2019 16:00:00 - 01/01/2019 17:00:00","BZN|BG","Without Sequence","189.75","",""
"01/01/2019 17:00:00 - 01/01/2019 18:00:00","BZN|BG","Without Sequence","193.04","",""
"01/01/2019 18:00:00 - 01/01/2019 19:00:00","BZN|BG","Without Sequence","189.77","",""
"01/01/2019 19:00:00 - 01/01/2019 20:00:00","BZN|BG","Without Sequence","187.09","",""
"01/01/2019 20:00:00 - 01/01/2019 21:00:00","BZN|BG","Without Sequence","163.23","",""
"01/01/2019 21:00:00 - 01/01/2019 22:00:00","BZN|BG","Without Sequence","140.02","",""
"01/01/2019 22:00:00 - 01/01/2019 23:00:00","BZN|BG","Without Sequence","100.06","",""
"01/01/2019 23:00:00 - 02/01/2019 00:00:00","BZN|BG","Without Sequence","90.09","",""
"02/01/2019 00:00:00 - 02/01/2019 01:00:00","BZN|BG","Without Sequence","44.08","",""
