"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2019 00:00 - 01/01/2019 01:00","BZN|BG","4321.00","4259.00"
"01/01/2019 01:00 - 01/01/2019 02:00","BZN|BG","4133.00","4082.00"
"01/01/2019 02:00 - 01/01/2019 03:00","BZN|BG","3991.00","3939.00"
"01/01/2019 03:00 - 01/01/2019 04:00","BZN|BG","3894.00","3836.00"
"01/01/2019 04:00 - 01/01/2019 05:00","BZN|BG","3841.00","3786.00"
"01/01/2019 05:00 - 01/01/2019 06:00","BZN|BG","3820.00","3776.00"
"01/01/2019 06:00 - 01/01/2019 07:00","BZN|BG","3878.00","3829.00"
"01/01/2019 07:00 - 01/01/2019 08:00","BZN|BG","4079.00","3991.00"
"01/01/2019 08:00 - 01/01/2019 09:00","BZN|BG","4331.00","4223.00"
"01/01/2019 09:00 - 01/01/2019 10:00","BZN|BG","4489.00","4346.00"
"01/01/2019 10:00 - 01/01/2019 11:00","BZN|BG","4543.00","4371.00"
"01/01/2019 11:00 - 01/01/2019 12:00","BZN|BG","4489.00","4301.00"
"01/01/2019 12:00 - 01/01/2019 13:00","BZN|BG","4398.00","4162.00"
"01/01/2019 13:00 - 01/01/2019 14:00","BZN|BG","4319.00","4079.00"
"01/01/2019 14:00 - 01/01/2019 15:00","BZN|BG","4376.00","4111.00"
"01/01/2019 15:00 - 01/01/2019 16:00","BZN|BG","4607.00","4315.00"
"01/01/2019 16:00 - 01/01/2019 17:00","BZN|BG","5068.00","4853.00"
"01/01/2019 17:00 - 01/01/2019 18:00","BZN|BG","5241.00","5121.00"
"01/01/2019 18:00 - 01/01/2019 19:00","BZN|BG","5229.00","5054.00"
"01/01/2019 19:00 - 01/01/2019 20:00","BZN|BG","5139.00","4913.00"
"01/01/2019 20:00 - 01/01/2019 21:00","BZN|BG","5033.00","4727.00"
"01/01/2019 21:00 - 01/01/2019 22:00","BZN|BG","4934.00","4663.00"
"01/01/2019 22:00 - 01/01/2019 23:00","BZN|BG","4698.00","4412.00"
"01/01/2019 23:00 - 02/01/2019 00:00","BZN|BG","4373.00","4387.00"
"02/01/2019 00:00 - 02/01/2019 01:00","BZN|BG","4156.00","4069.00"
"02/01/2019 01:00 - 02/01/2019 02:00","BZN|BG","4049.00","3940.00"
"02/01/2019 02:00 - 02/01/2019 03:00","BZN|BG","4032.00","3880.00"
"02/01/2019 03:00 - 02/01/2019 04:00","BZN|BG","4078.00","3913.00"
"02/01/2019 04:00 - 02/01/2019 05:00","BZN|BG","4198.00","4090.00"
"02/01/2019 05:00 - 02/01/2019 06:00","BZN|BG","4536.00","4512.00"
"02/01/2019 06:00 - 02/01/2019 07:00","BZN|BG","5028.00","5081.00"
"02/01/2019 07:00 - 02/01/2019 08:00","BZN|BG","5569.00","5659.00"
"02/01/2019 08:00 - 02/01/2019 09:00","BZN|BG","5829.00","5963.00"
"02/01/2019 09:00 - 02/01/2019 10:00","BZN|BG","5844.00","5917.00"
"02/01/2019 10:00 - 02/01/2019 11:00","BZN|BG","5730.00","5788.00"
"02/01/2019 11:00 - 02/01/2019 12:00","BZN|BG","5627.00","5609.00"
"02/01/2019 12:00 - 02/01/2019 13:00","BZN|BG","5551.00","5497.00"
"02/01/2019 13:00 - 02/01/2019 14:00","BZN|BG","5484.00","5410.00"
"02/01/2019 14:00 - 02/01/2019 15:00","BZN|BG","5489.00","5456.00"
"02/01/2019 15:00 - 02/01/2019 16:00","BZN|BG","5650.00","5619.00"
"02/01/2019 16:00 - 02/01/2019 17:00","BZN|BG","5977.00","5983.00"
"02/01/2019 17:00 - 02/01/2019 18:00","BZN|BG","6178.00","6220.00"
"02/01/2019 18:00 - 02/01/2019 19:00","BZN|BG","6114.00","6139.00"
"02/01/2019 19:00 - 02/01/2019 20:00","BZN|BG","5891.00","5846.00"
"02/01/2019 20:00 - 02/01/2019 21:00","BZN|BG","5657.00","5572.00"
"02/01/2019 21:00 - 02/01/2019 22:00","BZN|BG","5480.00","5372.00"
"02/01/2019 22:00 - 02/01/2019 23:00","BZN|BG","5134.00","5000.00"
"02/01/2019 23:00 - 03/01/2019 00:00","BZN|BG","4728.00","5011.00"
"03/01/2019 00:00 - 03/01/2019 01:00","BZN|BG","4449.00","4754.00"
"03/01/2019 01:00 - 03/01/2019 02:00","BZN|BG","4317.00","4598.00"
"03/01/2019 02:00 - 03/01/2019 03:00","BZN|BG","4285.00","4536.00"
"03/01/2019 03:00 - 03/01/2019 04:00","BZN|BG","4294.00","4564.00"
"03/01/2019 04:00 - 03/01/2019 05:00","BZN|BG","4430.00","4707.00"
"03/01/2019 05:00 - 03/01/2019 06:00","BZN|BG","4874.00","5095.00"
"03/01/2019 06:00 - 03/01/2019 07:00","BZN|BG","5384.00","5599.00"
"03/01/2019 07:00 - 03/01/2019 08:00","BZN|BG","5842.00","6097.00"
"03/01/2019 08:00 - 03/01/2019 09:00","BZN|BG","6062.00","6344.00"
"03/01/2019 09:00 - 03/01/2019 10:00","BZN|BG","6026.00","6297.00"
"03/01/2019 10:00 - 03/01/2019 11:00","BZN|BG","5985.00","6216.00"
"03/01/2019 11:00 - 03/01/2019 12:00","BZN|BG","5895.00","6090.00"
"03/01/2019 12:00 - 03/01/2019 13:00","BZN|BG","5885.00","5977.00"
"03/01/2019 13:00 - 03/01/2019 14:00","BZN|BG","5853.00","5866.00"
"03/01/2019 14:00 - 03/01/2019 15:00","BZN|BG","5890.00","5882.00"
"03/01/2019 15:00 - 03/01/2019 16:00","BZN|BG","6004.00","5999.00"
"03/01/2019 16:00 - 03/01/2019 17:00","BZN|BG","6227.00","6366.00"
"03/01/2019 17:00 - 03/01/2019 18:00","BZN|BG","6407.00","6620.00"
"03/01/2019 18:00 - 03/01/2019 19:00","BZN|BG","6327.00","6557.00"
"03/01/2019 19:00 - 03/01/2019 20:00","BZN|BG","6129.00","6291.00"
"03/01/2019 20:00 - 03/01/2019 21:00","BZN|BG","5911.00","6027.00"
"03/01/2019 21:00 - 03/01/2019 22:00","BZN|BG","5748.00","5853.00"
"03/01/2019 22:00 - 03/01/2019 23:00","BZN|BG","5385.00","5470.00"
"03/01/2019 23:00 - 04/01/2019 00:00","BZN|BG","4975.00","4978.00"
"04/01/2019 00:00 - 04/01/2019 01:00","BZN|BG","4690.00","4737.00"
"04/01/2019 01:00 - 04/01/2019 02:00","BZN|BG","4560.00","4595.00"
"04/01/2019 02:00 - 04/01/2019 03:00","BZN|BG","4530.00","4516.00"
"04/01/2019 03:00 - 04/01/2019 04:00","BZN|BG","4585.00","4510.00"
"04/01/2019 04:00 - 04/01/2019 05:00","BZN|BG","4751.00","4602.00"
"04/01/2019 05:00 - 04/01/2019 06:00","BZN|BG","5172.00","4880.00"
"04/01/2019 06:00 - 04/01/2019 07:00","BZN|BG","5672.00","5332.00"
"04/01/2019 07:00 - 04/01/2019 08:00","BZN|BG","6116.00","5922.00"
"04/01/2019 08:00 - 04/01/2019 09:00","BZN|BG","6323.00","6272.00"
"04/01/2019 09:00 - 04/01/2019 10:00","BZN|BG","6291.00","6313.00"
"04/01/2019 10:00 - 04/01/2019 11:00","BZN|BG","6227.00","6279.00"
"04/01/2019 11:00 - 04/01/2019 12:00","BZN|BG","6092.00","6193.00"
"04/01/2019 12:00 - 04/01/2019 13:00","BZN|BG","6056.00","6090.00"
"04/01/2019 13:00 - 04/01/2019 14:00","BZN|BG","5973.00","6007.00"
"04/01/2019 14:00 - 04/01/2019 15:00","BZN|BG","5964.00","6059.00"
"04/01/2019 15:00 - 04/01/2019 16:00","BZN|BG","6049.00","6229.00"
"04/01/2019 16:00 - 04/01/2019 17:00","BZN|BG","6319.00","6574.00"
"04/01/2019 17:00 - 04/01/2019 18:00","BZN|BG","6520.00","6694.00"
"04/01/2019 18:00 - 04/01/2019 19:00","BZN|BG","6443.00","6565.00"
"04/01/2019 19:00 - 04/01/2019 20:00","BZN|BG","6212.00","6342.00"
"04/01/2019 20:00 - 04/01/2019 21:00","BZN|BG","5972.00","6105.00"
"04/01/2019 21:00 - 04/01/2019 22:00","BZN|BG","5828.00","5979.00"
"04/01/2019 22:00 - 04/01/2019 23:00","BZN|BG","5539.00","5655.00"
"04/01/2019 23:00 - 05/01/2019 00:00","BZN|BG","5155.00","5600.00"
"05/01/2019 00:00 - 05/01/2019 01:00","BZN|BG","4897.00","5238.00"
